Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.8143083496024672,0.6590978303406347,0.9695188688642997
RandomForestClassifier,roc_auc,0.8336834733893559,0.6851967740012643,0.9821701727774474
AdaBoostClassifier,roc_auc,0.798002433296551,0.7123776098974994,0.8836272566956025
XGBClassifier,roc_auc,0.8281894576012222,0.7220905970324925,0.934288318169952
LinearDiscriminantAnalysis,roc_auc,0.753920153920154,0.6461549329952537,0.8616853748450543
SVC,roc_auc,0.7754901960784314,0.6411508121595697,0.9098295799972931
LassoRegression,roc_auc,0.8053829612653143,0.5816025129108896,1.029163409619739
RidgeRegression,roc_auc,0.7971154118212941,0.7452855307224739,0.8489452929201142
