Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.5328296703296703,0.24897464096444938,0.8166846996948913
RandomForestClassifier,roc_auc,0.4768772893772894,0.1516376156355615,0.8021169631190173
AdaBoostClassifier,roc_auc,0.4739010989010989,0.22319365080661424,0.7246085469955835
XGBClassifier,roc_auc,0.5502747252747253,0.3147426640251987,0.785806786524252
LinearDiscriminantAnalysis,roc_auc,0.5476190476190477,0.3033444862778941,0.7918936089602012
SVC,roc_auc,0.5084249084249084,0.356932358706045,0.6599174581437718
LassoRegression,roc_auc,0.4968864468864469,0.1733038684997924,0.8204690252731014
RidgeRegression,roc_auc,0.557967032967033,0.37589686568424896,0.740037200249817
