GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
PIGT,0.4091206591,0.1859041863,0.0,0.0747130960226059,0.4766640183,0.553460745,0.4213488905,0.5393657056,0.3325721626
PIGL,0.3982841934,0.4120682992,0.0,0.05824765935540199,0.4196989303,0.3755575678,0.4963444971,0.4956302616,0.3319789261
NAPG,0.5475351251,0.0,0.0,0.15652234852313995,0.6729491661,0.5817408804,0.2226432874,0.4664304177,0.3309776532
COPZ2,0.4567376126,0.0181845425,0.0,0.13223741948604584,0.352619178,0.6821027099,0.4063444514,0.5884321955,0.3295822637
TBC1D23,0.3253387254,0.3725439968,0.0,0.10184276849031448,0.5074911721,0.4836573129,0.3934376647,0.4415672711,0.3282348639
RAB12,0.4030778039,0.1909907882,1.0,0.0,0.3384539323,0.3808786424,0.0353327406,0.260989724,0.3262154539
DNAJB9,0.6920289098,0.0,0.0,0.0,0.467448212,0.6767997144,0.270100321,0.4590134955,0.3206738316
B4GALT3,0.556234023,0.0378308169,1.0,0.0054252054542303085,0.2443054523,0.3255806664,0.0647928777,0.2979301606,0.3165124003
DNAJC10,0.3970183142,0.0123331313,0.0,0.03022858500480652,0.3349927025,0.5206719716,0.5233839354,0.7078069081,0.3158044435
ALG14,0.2383215982,0.2169896209,0.0,0.0055053806863725185,0.700732426,0.6473042073,0.2413542294,0.4595593059,0.313720846
PRKCSH,0.0,0.1908805295,0.0,0.01912083849310875,0.6936427779,0.67179399,0.4086250601,0.5158543597,0.3124896945
OPTN,0.7550895769,0.030154638,0.0,0.13752444088459015,0.2744176997,0.5697336562,0.3005304504,0.4082565584,0.3094633776
RAB5A,0.2467911999,0.0,1.0,0.011732524260878563,0.3618355327,0.2560536195,0.267020743,0.3151685364,0.3073252695
UBE2G2,0.2150558849,0.1391641429,1.0,0.0,0.3717786525,0.4887202743,0.0,0.2168703985,0.3039486691
