Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.5284166666666666,0.12367861694945897,0.9331547163838743
RandomForestClassifier,roc_auc,0.5608333333333333,-0.06587067707881233,1.187537343745479
AdaBoostClassifier,roc_auc,0.4575833333333333,0.02512623848011103,0.8900404281865555
XGBClassifier,roc_auc,0.5813333333333333,0.14137171884608934,1.0212949478205773
LinearDiscriminantAnalysis,roc_auc,0.6073333333333333,0.32206854405852636,0.8925981226081402
SVC,roc_auc,0.70575,0.24620647648998473,1.1652935235100153
LassoRegression,roc_auc,0.6565,0.2217779943202527,1.0912220056797473
RidgeRegression,roc_auc,0.6056666666666667,0.13065274874191551,1.0806805845914178
