Model,Scoring,Score,CI-lower,CI-high
ExtraTreesRegressor,neg_mean_squared_error,-1.1423175803402648,-1.501859858250105,-0.7827753024304245
RandomForestRegressor,neg_mean_squared_error,-1.168461247637051,-1.3886651535310068,-0.9482573417430953
AdaBoostRegressor,neg_mean_squared_error,-1.1790509940889555,-1.3301030789180377,-1.0279989092598734
XGBRegressor,neg_mean_squared_error,-1.2439313829402812,-1.5164711348872062,-0.9713916309933561
SVR,neg_mean_squared_error,-2.254662807474293,-3.0331322435150927,-1.4761933714334932
LassoRegression,neg_mean_squared_error,-1.212178271604938,-1.2902119010289186,-1.1341446421809576
RidgeRegression,neg_mean_squared_error,-2.0071976517329184,-2.9060598386339853,-1.1083354648318517
