Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.5548484848484849,0.32037351305683676,0.789323456640133
RandomForestClassifier,roc_auc,0.5265909090909091,0.3376879697874079,0.7154938483944103
AdaBoostClassifier,roc_auc,0.5933333333333334,0.3822049207225001,0.8044617459441666
XGBClassifier,roc_auc,0.6013636363636363,0.3714419025647312,0.8312853701625414
LinearDiscriminantAnalysis,roc_auc,0.6518181818181819,0.3786575833045072,0.9249787803318565
SVC,roc_auc,0.6443939393939394,0.4444028927623905,0.8443849860254884
LassoRegression,roc_auc,0.6445454545454545,0.31019109542094014,0.9788998136699689
RidgeRegression,roc_auc,0.6934848484848486,0.42415909101563876,0.9628106059540584
