Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.6315004105090313,0.39868786947724555,0.864312951540817
RandomForestClassifier,roc_auc,0.5981547619047619,0.3245821677259695,0.8717273560835543
AdaBoostClassifier,roc_auc,0.6093308702791462,0.34663864630856855,0.8720230942497239
XGBClassifier,roc_auc,0.6630090311986864,0.4210634122992508,0.9049546500981219
LinearDiscriminantAnalysis,roc_auc,0.5453735632183909,0.23414025831865443,0.8566068681181274
SVC,roc_auc,0.6158743842364532,0.39004431948544876,0.8417044489874577
LassoRegression,roc_auc,0.6585673234811166,0.34590792380171564,0.9712267231605175
RidgeRegression,roc_auc,0.6084934318555009,0.4202568445172921,0.7967300191937097
