GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
HSPA1B,0.0745123309,0.5222571015,0.0,0.047122057527303696,0.2312485471,0.4067008049,0.3543535286,0.5564905389,0.2740856137
RABGEF1,0.1878822109,0.5803221475,0.0,0.28269317746162415,0.4523683198,0.1645009972,0.1603321051,0.3624830595,0.2738227522
UBXN2A,0.1959466172,0.508016574,0.0,0.028704019263386726,0.3736204855,0.474596869,0.1858116515,0.4231590994,0.2737319145
PIGH,0.4182881372,0.3354036047,0.0,0.0,0.4068397004,0.4147167894,0.1646846992,0.4465437994,0.2733095913
MOGS,0.2132406488,0.9941060201,0.0,0.1403844952583313,0.3967890447,0.194417505,0.0,0.2376211921,0.2720698632
ALG13,0.5920700954,0.4170215034,1.0,0.017138253897428513,0.0525061281,0.0881424608,0.0,0.0003632651,0.2709052133
BAG2,0.33548569,0.6163925453,0.0,0.08116570115089417,0.3289095042,0.297237166,0.1286785963,0.3669672075,0.2693545513
TBC1D10A,0.0716420562,0.3649004496,0.0,0.06064106896519661,0.4560964854,0.4425144796,0.2797579682,0.4554832536,0.2663794702
RAB25,0.3815177201,0.1895593178,1.0,0.2921768128871918,0.067187156,0.1320950376,0.0,0.0618180229,0.2655442584
FBXO2,0.1660450603,0.340541184,1.0,0.13260993361473083,0.0461348518,0.0177987889,0.1909643006,0.2301330611,0.2655283975
GALNT12,0.142368353,0.6739072694,0.0,0.05154256522655487,0.2813556722,0.6231879093,0.0104112797,0.3358061106,0.2648223949
ARHGEF7,0.3620660276,0.3566207058,0.0,0.0,0.5092201533,0.5027778773,0.0076416452,0.3774854219,0.2644764789
RAB33A,0.2041082182,0.0,0.0,0.045865871012210846,0.2431235739,0.448184102,0.48417301,0.6810284236,0.2633103998
RAB11FIP4,0.2555837225,0.479441374,0.0,0.8843803405761719,0.2261383404,0.1280326665,0.0,0.1156710747,0.2611559398
WDR38,0.049647945,0.0112945342,0.0,0.0,0.4389066998,0.5830176357,0.3860944646,0.6131111573,0.2602590546
YKT6,0.1491190824,0.5370438111,1.0,0.020344775170087814,0.1150094599,0.0452506794,0.0,0.2070223241,0.2592237665
SEC61A2,0.2506392443,0.0,0.0,0.0,0.5652510459,0.4708190973,0.2847688095,0.5017329185,0.2591513894
AP1S1,0.2190141357,0.4877547186,0.0,0.0,0.4612502584,0.5178153104,0.0665945062,0.3203741518,0.2591003851
SEC62,0.351668671,0.32650688,0.0,0.42137426137924194,0.1809415253,0.1003442723,0.2851518356,0.4005278924,0.2583144172
UBQLNL,0.6732580404,0.2696443043,0.0,0.0816694125533104,0.1764662373,0.1512087399,0.3264577927,0.3659610276,0.2555831943
GLT8D2,0.341483492,0.2376031558,0.0,0.0,0.214805766,0.3421322301,0.3148177439,0.5829627606,0.2542256436
BAG1,0.1448984468,0.2822213052,0.0,0.0,0.5339545252,0.4529014038,0.1900528295,0.4194435561,0.2529340083
GGA3,0.2561728885,0.2331588233,1.0,0.051629383116960526,0.1965206663,0.1587965161,0.0,0.1208126595,0.2521363671
TRAPPC5,0.1899636882,0.3462568826,0.0,0.057025790214538574,0.3112529564,0.3125121276,0.2846999906,0.500391788,0.250262903
SEC31B,0.1967361354,0.2446365391,0.0,0.0,0.3253604507,0.4789191963,0.2866309436,0.4666316422,0.2498643634
STX2,0.3086331729,0.0,0.0,0.0,0.2315057445,0.5418165198,0.3787060272,0.5285002473,0.248645214
DPM2,0.1636709151,0.3074436017,0.0,0.0,0.4028252385,0.4020899599,0.2131083004,0.490898355,0.2475045463
MYO5B,0.1968580421,0.0812849451,0.0,0.05725474655628204,0.2685044842,0.4792789267,0.314689762,0.5750539176,0.246615603
RAB8B,0.1601237782,0.0,0.0,0.17264826595783234,0.1745591098,0.3534247429,0.4897822064,0.6124703484,0.2453760565
DAD1,0.064664916,0.3164346056,0.0,0.9609744548797607,0.2797384081,0.1489642851,0.0,0.1787529381,0.243691201
DNAJA1,0.2808572779,0.0,1.0,0.034072719514369965,0.1725894245,0.1167564861,0.0439129341,0.2878809294,0.2420087214
DNAJC5B,0.4505518316,0.1084883712,0.0,0.18826383352279663,0.2422386664,0.1208511658,0.3382763803,0.4779905142,0.2408325954
MGAT1,0.3789933146,0.3700759461,0.0,0.030699290335178375,0.3436918109,0.5397176886,0.0,0.2623814664,0.2406949396
GALNT15,1.0,0.0,0.0,0.1985035091638565,0.0846705327,0.0806185185,0.2654667979,0.2956993558,0.2406198393
NAPG,0.2204605175,0.404677129,0.0,0.4291571378707886,0.2236186739,0.4389721717,0.0,0.1933688871,0.2387818146
AGR3,0.3175914416,0.6874822244,0.0,0.008954045362770557,0.1158817021,0.278109854,0.1655216718,0.3047330307,0.2347842462
IFT27,0.2373904411,0.0736146675,0.0,0.0,0.3834535041,0.6385910867,0.1404702774,0.4037710382,0.2346613769
RAB12,0.4510807578,0.1680856838,1.0,0.02119440957903862,0.0424169418,0.152148897,0.0,0.0324895593,0.2334270312
CTSA,0.1693045073,0.1663655812,0.0,0.12232345342636108,0.3813862988,0.4524526332,0.1420561961,0.4102444368,0.2305166384
NSF,0.2835077656,0.0429213289,0.0,0.21874140202999115,0.4194265835,0.4361897063,0.0641710914,0.372284463,0.2296552926
ARFGEF2,0.2088171438,0.1784096823,0.0,0.0,0.2396281845,0.558289292,0.2164311893,0.4343150171,0.2294863136
SMCHD1,0.2631308142,0.0,0.0,0.2788257896900177,0.2891582332,0.5694601927,0.0772275104,0.3400520362,0.227231822
AKAP10,0.2312302234,0.0757451983,0.0,0.0,0.4363103759,0.4909103142,0.1465833004,0.4356609043,0.2270550396
HSPA8,0.1864146265,0.1021247766,0.0,0.075472392141819,0.1574314432,0.3837098566,0.4085370341,0.4754711767,0.2236451632
STX1A,0.5236527329,0.0570919275,0.0,0.24232327938079834,0.2300458363,0.1091399143,0.2756608529,0.3435572292,0.2226839716
ARF1,0.2634846274,0.5095634102,0.0,0.0,0.4915826931,0.2587930402,0.0,0.2525782122,0.2220002479
PIGB,0.1308992875,0.1172018668,0.0,0.130511075258255,0.4120098793,0.3873405617,0.1910326386,0.3967336007,0.2207161137
TBC1D14,0.1751409062,0.0935701654,0.0,0.0,0.1132185011,0.4061545729,0.4288038141,0.5386964472,0.2194480509
AP1S2,0.2985056347,0.3513855002,0.0,0.036022599786520004,0.2652479135,0.3226747131,0.1784276139,0.3009731204,0.2191546369
COPE,0.0962312685,0.1602861747,0.0,0.8868998885154724,0.2901325349,0.1960081819,0.0,0.1188078268,0.2185457344
RAB6B,0.2224808249,0.1232912141,0.0,0.0,0.2599245664,0.1339679409,0.4791874137,0.5205223418,0.2174217877
UBE2E2,0.2332602137,0.0840808476,0.0,0.0,0.050967642,0.3353509029,0.6060052487,0.4295346263,0.2173999352
RAB27B,0.2597239464,0.297913362,0.0,0.10665412992238998,0.1097618903,0.3502989951,0.1785739352,0.424169245,0.215886938
UBE2E1,0.0683823353,0.544579808,0.0,0.27110952138900757,0.2352237616,0.368832608,0.0,0.2207263254,0.213606795
AGAP1,0.204486006,0.0,0.0,0.0,0.461217483,0.5520658338,0.0917072273,0.3962844552,0.2132201257
FUT8,0.1785070996,0.1123283086,0.0,0.1725272387266159,0.1217110911,0.378548747,0.3100508603,0.4146669843,0.2110425412
B4GALT1,0.0413558087,0.2906062834,0.0,0.12757132947444916,0.0713136971,0.4130935962,0.2734159206,0.4635751541,0.2101164737
RAB6C,0.3121573214,0.417113991,0.0,0.12322680652141571,0.5186544593,0.0940672848,0.0,0.2120311605,0.2096563779
RAB26,0.179363052,0.0629176411,0.0,0.0,0.2472696553,0.467152372,0.2195150967,0.5004816387,0.209587432
GGA1,0.0082746575,0.0,0.0,0.0,0.7680847714,0.4550675982,0.0729559982,0.3585376129,0.2078650798
HAS3,0.1125353419,0.1246283767,0.0,0.1391710788011551,0.1955568831,0.2909582984,0.303377528,0.4938603105,0.2075109772
RAB3A,0.3682626182,0.1760624158,0.0,0.00959364790469408,0.2172156902,0.403563481,0.1294955976,0.3425479136,0.2058426705
RAB7A,0.2082204722,0.3190958133,0.0,0.0,0.4962648017,0.383643893,0.0,0.2254045019,0.2040786853
QSOX2,0.1452662093,0.1573885453,0.0,0.05147669464349747,0.1718981528,0.3973389042,0.2552289738,0.4509643781,0.2036952323
AP1B1,0.0461638787,0.0971754515,0.0,0.0,0.5646689643,0.3431292262,0.2307843952,0.3469594734,0.2036101737
HERPUD1,0.6157021889,0.3804207835,0.0,0.02545337937772274,0.1520398038,0.2505861628,0.0,0.1887982197,0.2016250673
ALG6,0.0941472142,0.0,0.0,0.03968270123004913,0.6176974853,0.4386307581,0.1006819676,0.3209664839,0.2014758263
HSPA5,0.3047191658,0.707011257,0.0,0.15029340982437134,0.0539151645,0.0308908272,0.1480836167,0.1991883901,0.1992627289
TBC1D8,0.0942726263,0.3209486058,0.0,0.18693338334560394,0.1915736098,0.4787830048,0.0,0.3206369337,0.1991435205
BAK1,0.4177185121,0.3642172569,0.0,0.0014203540049493313,0.2023580939,0.330555708,0.0,0.2702125303,0.1983103069
GANAB,0.1820424649,0.073855404,0.0,1.0,0.1770237836,0.1476308362,0.0,0.0037272238,0.1980349641
SKP1,0.4084544104,0.2185550283,0.0,0.1751469224691391,0.4285340319,0.261828439,0.0,0.0916037847,0.1980153271
RAB32,0.1933468308,0.6689387104,0.0,0.0,0.1596616156,0.1916920278,0.0658547886,0.2977022667,0.19714953
PIGC,0.3368692146,0.4918048984,0.0,0.25865617394447327,0.3868023578,0.0073564332,0.0,0.0865706294,0.1960074634
CLTB,0.2658603993,0.2173089157,0.0,0.012167190201580524,0.4344883013,0.2332705698,0.1354567283,0.2686610345,0.1959016424
ARFGAP2,0.2711536175,0.4541249101,0.0,0.0,0.3787603242,0.2982788488,0.0,0.1634991528,0.1957271067
STX11,0.2073676582,0.4999700084,0.0,0.0,0.0898936655,0.0326064366,0.3038783092,0.4205458179,0.194282737
SSR2,0.32296439,0.3228929585,0.0,0.38624921441078186,0.2597751172,0.1669115009,0.0,0.0946323089,0.1941781862
PDIA3,0.2864406835,0.626181033,0.0,0.01813080534338951,0.1018826587,0.2601976132,0.0,0.2601454288,0.1941222778
UBE2D3,0.2901988887,0.0871516114,1.0,0.0,0.112058748,0.0287433278,0.0,0.0307018556,0.1936068039
INPP5B,0.3126828048,0.3281277281,0.0,0.0,0.2928684458,0.395819048,0.0,0.2177464497,0.1934055596
WFS1,0.2615207421,0.0,0.0,0.0,0.2869752291,0.3290304805,0.1845081314,0.477590297,0.19245311
UBE2D2,0.1969529774,0.0863630611,0.0,0.07296562939882278,0.6392842129,0.3272955906,0.0,0.2099122673,0.1915967173
GALNT7,0.2858396218,0.1871932781,0.0,0.18392308056354523,0.1796266186,0.3666767153,0.0,0.3291358304,0.1915493931
PIGV,0.2028039673,0.0,0.0,0.0,0.3997851853,0.3072074257,0.1835445211,0.4386102601,0.1914939199
PAK1,0.3706761244,0.1435104698,0.0,0.0,0.1163970862,0.2561678526,0.2786942985,0.3614417438,0.1908609469
ERN1,0.3223894793,0.0,0.0,0.7880473136901855,0.1739437637,0.0762510817,0.0,0.1615013704,0.1902666261
TBC1D30,0.045050913,0.0,0.0,0.3577384352684021,0.2845485773,0.5330928357,0.0,0.2958787572,0.1895386898
GALNT9,0.1804954169,0.0,0.0,0.188351571559906,0.1211378858,0.2244890285,0.2941895837,0.5073005713,0.1894955072
UBE2J2,0.2856842909,0.2157449195,0.0,0.011355455964803696,0.5387496926,0.2118808954,0.0,0.2467291013,0.1887680445
UGGT2,0.2853319374,0.0,0.0,0.009304038248956203,0.4029045992,0.45886172,0.0196314142,0.3305302129,0.1883204902
TMX2,0.1307395884,0.0951321096,0.0,0.006611477583646774,0.2768642061,0.0995957409,0.4746147884,0.4169547886,0.1875640874
SNAP29,0.1404146558,0.1272718794,0.0,0.010461492463946342,0.6914418262,0.2130917297,0.0118987525,0.2996161547,0.1867745613
RBX1,0.4790197135,0.1196238489,0.0,0.0,0.4099159895,0.2575825821,0.0,0.2271146477,0.1866570977
ARF6,0.1083931742,0.0360524615,0.0,0.0,0.2444039643,0.4859611261,0.2360288974,0.3807930699,0.1864540867
RAB3IL1,0.2346850478,0.2621363788,0.0,0.11152593791484833,0.1517682651,0.1290764691,0.2186978904,0.3755684305,0.1854323025
YWHAQ,0.1174174091,0.7143845675,0.0,0.014629543758928776,0.2070174782,0.2993033415,0.0,0.1273648895,0.1850146537
LMAN1,0.2615416783,0.0,0.0,0.12965726852416992,0.1565788408,0.2481620931,0.282836052,0.3833643502,0.1827675354
SEC61A1,0.187443515,0.2061418282,0.0,0.06488502025604248,0.572142734,0.2709022764,0.0,0.1593396886,0.1826068828
UGCG,0.0881494871,0.0,0.0,0.0,0.2667704782,0.478713602,0.1784309492,0.4277383597,0.1799753595
MICAL1,0.1004182821,0.0415408389,0.0,0.0,0.2276688859,0.3899642137,0.2444843605,0.435686977,0.1799704448
GBGT1,0.1540590777,0.2556444738,0.0,0.4063204824924469,0.1629319003,0.0481118159,0.1497840757,0.2599357226,0.1795984436
EDEM2,0.1985736178,0.256273453,0.0,0.1442209780216217,0.4126767201,0.2717225059,0.0,0.1490829802,0.1790687819
RAB40C,0.1756066202,0.1698304948,0.0,0.0,0.4669692069,0.3104242968,0.0,0.3023882257,0.1781523556
AP1G1,0.1118898093,0.3871852793,0.0,0.0,0.2605808919,0.4366243021,0.0,0.227903285,0.178022946
RAB1B,0.2014475456,0.0,0.0,0.0,0.5886633823,0.3619142269,0.0,0.266685075,0.1773387787
UBQLN1,0.1656175877,0.1937297904,0.0,0.69303959608078,0.1202646288,0.1706606895,0.0,0.0752883876,0.177325085
A3GALT2,0.1253447309,0.2902806503,0.0,0.0,0.5544676546,0.1947882599,0.0,0.2470743854,0.1764944601
EIF2AK2,0.3250349728,0.2110559315,0.0,0.0,0.3278092281,0.2015851726,0.0325396177,0.3104926031,0.1760646907
GBF1,0.0749198688,0.0688022435,0.0,0.3993965983390808,0.2193783478,0.3509101483,0.0,0.2920368411,0.175680506
RAB11FIP3,0.2385064322,0.1658818731,0.0,0.018904807046055794,0.3714788377,0.3370198368,0.0,0.2728697368,0.1755826905
RFT1,0.2476016455,0.04486445,0.0,0.10035702586174011,0.3881340442,0.4215794908,0.0,0.1978257677,0.175045303
GALNT11,0.5464114721,0.4522066776,0.0,0.09187080711126328,0.1598155773,0.0308884779,0.0,0.1176331462,0.1748532698
TBC1D10C,0.3093804473,0.127235798,0.0,0.1084054633975029,0.2381484681,0.2549391448,0.0381652521,0.3205505645,0.1746031423
EXOC6B,0.478125015,0.0850363691,0.0,0.07621900737285614,0.1092269048,0.4181457546,0.0,0.2261515453,0.1741130745
AGAP2,0.1130278964,0.0,0.0,0.0,0.273923505,0.2789667903,0.2317535937,0.4793820915,0.1721317346
AP3S2,0.0775124389,0.112094495,0.0,0.26311901211738586,0.383075274,0.1933847083,0.0794995861,0.267324758,0.1720012841
SYTL2,0.2146451211,0.6383694208,0.0,0.21962209045886993,0.036773036,0.1619820672,0.0,0.1029245455,0.1717895351
FBXO8,0.0772285323,0.6765797943,0.0,0.01981646567583084,0.1912855349,0.2270808507,0.0,0.1781227167,0.1712642368
ARHGEF2,0.280398733,0.2806444884,0.0,0.1940387636423111,0.1354908556,0.3555894842,0.0,0.1231987229,0.171170131
CALR,0.2713834012,0.4155363042,0.0,0.0,0.125775662,0.0834231789,0.1858203691,0.2842693055,0.1707760276
UBE2J1,0.1695613898,0.1773370904,0.0,0.0,0.4344158505,0.3407214336,0.0,0.243350981,0.1706733432
BCAP31,0.3374985627,0.0712374454,0.0,0.6865461468696594,0.1342198156,0.0253934762,0.0,0.1083761051,0.170408944
GALNT2,0.0,0.0772131845,0.0,0.007455020677298307,0.3385739152,0.5251052099,0.037593019,0.3730732987,0.169876706
HAS1,0.1160194082,0.1305661848,0.0,0.2808687388896942,0.1122499289,0.2230402322,0.1683721833,0.3171534287,0.1685337631
ERLEC1,0.0566278481,0.1148020587,0.0,0.8296823501586914,0.0631503907,0.2072937527,0.0,0.0714652179,0.1678777023
DOLK,0.3782168813,0.5616963234,0.0,0.261208713054657,0.0347766616,0.0100906304,0.0,0.0890803362,0.1668836932
ALG9,0.0744719174,0.4631317556,0.0,0.0,0.282906968,0.3452981915,0.0,0.1689976012,0.1668508042
ARHGEF6,0.2959025179,0.0910550771,0.0,0.3395437002182007,0.1042694062,0.3771651164,0.0,0.1260286194,0.1667455547
ERO1B,0.4201077538,0.0491930986,0.0,0.0,0.0887509323,0.2164112656,0.1973537177,0.3580631034,0.1662349839
RRBP1,0.4140892812,0.1721116148,0.0,0.5644208788871765,0.0544041929,0.0066714908,0.0,0.1135625044,0.1656574954
TBC1D2B,0.2345713777,0.1057990968,0.0,0.0,0.2654508648,0.3458505627,0.0447912419,0.3224594307,0.1648653218
B4GALNT1,0.4255019507,0.4679876344,0.0,0.05008349195122719,0.1185017052,0.0876171726,0.0157221058,0.1437669025,0.1636476204
MAP2K7,0.1546751994,0.2732506994,0.0,0.034275203943252563,0.41395697,0.2215394177,0.0,0.2091864094,0.1633604875
RAB42,0.1627430946,0.2446230874,0.0,0.15836037695407867,0.0958862891,0.1458023743,0.1921045399,0.3044315965,0.1629939198
P4HB,0.2400687598,0.1861178114,0.0,0.0,0.3178804926,0.3290587146,0.0,0.2286621343,0.1627234891
TRAM1,0.0607333591,0.0869238583,0.0,0.0,0.4196062186,0.385501709,0.0,0.3428310877,0.1619495291
LMAN2,0.1683312562,0.0,0.0,0.0,0.4349408831,0.3830930963,0.0,0.3006055443,0.1608713475
HSPA6,0.2095736365,0.0385285044,0.0,0.0,0.1177040582,0.2909533059,0.2046980466,0.4238607142,0.1606647832
TBC1D22A,0.0869149387,0.1166971123,0.0,0.0,0.5326506433,0.3062455241,0.0,0.2383930198,0.1601126548
RAB37,0.1044728551,0.1996341417,0.0,0.05104769766330719,0.2869803941,0.4261065938,0.0,0.2114375833,0.1599599082
AP3B2,0.1197292644,0.0719058755,0.0,0.0,0.2701940873,0.4260360914,0.0791496126,0.3033487576,0.1587954611
PIGK,0.4526561073,0.3174634704,0.0,0.0,0.2510013244,0.1491197054,0.0,0.0974549379,0.1584619432
GALNTL6,0.1950922992,0.0628816549,0.0,0.03249448537826538,0.1605114654,0.1793946128,0.2378302644,0.3979574064,0.1582702736
PIGP,0.2098325223,0.3504201854,0.0,0.06914055347442627,0.2391416926,0.0994610162,0.0,0.2759158735,0.1554889804
ARAP3,0.4756665879,0.0376882611,0.0,0.0,0.2020997281,0.3189489244,0.0,0.2047749913,0.1548973116
EXOC3,0.2491399574,0.4355568288,0.0,0.0,0.1096570657,0.2956132897,0.0,0.1382259309,0.1535241341
MAN1A1,0.1406192313,0.0475344757,0.0,0.0,0.0513881517,0.3692416385,0.2340755128,0.3800380453,0.1528621319
ARHGDIA,0.3158388375,0.1912468735,0.0,0.08654199540615082,0.4395046299,0.0781922946,0.0,0.1022962204,0.1517026064
GPLD1,0.1234186126,0.5776622923,0.0,0.0,0.0343000742,0.1808202676,0.0885815924,0.2050849907,0.1512334787
PRKCSH,0.03309863,0.3020776887,0.0,0.0,0.3818090205,0.344784705,0.0,0.1475572059,0.1511659063
GALNT16,0.4816329403,0.0381815638,0.0,0.0,0.0900037991,0.1187028654,0.178402032,0.2991222044,0.1507556756
ROCK1,0.1068183058,0.1069563344,0.0,0.0,0.1368477844,0.4838392897,0.0856989469,0.2778465323,0.1497508992
MICALL2,0.0,0.0886664119,0.0,0.0,0.2745872663,0.4870936844,0.0537515727,0.2906962888,0.149349403
SGSM3,0.4188539112,0.3650470351,0.0,0.09604573249816895,0.0677460877,0.0387566793,0.0,0.2074341246,0.1492354463
PDIA4,0.3138211896,0.5974517564,0.0,0.008459490723907948,0.0040997473,0.1316826546,0.0,0.1295526103,0.1481334311
B4GALNT2,0.2792979363,0.1761060979,0.0,0.12968899309635162,0.0509152787,0.1349496952,0.121289921,0.2901519603,0.1477999853
BNIP1,0.065201277,0.301856019,0.0,0.07318015396595001,0.1671861089,0.2314380287,0.0832327979,0.2584472751,0.1475677076
PIGF,0.1819077312,0.1297864445,0.0,0.0,0.3660897812,0.2500791725,0.0,0.2481570993,0.1470025286
GIT2,0.1357705532,0.1584115782,0.0,0.21793100237846375,0.2602512615,0.2606415146,0.0,0.1411799946,0.1467732381
RAD23B,0.2549695661,0.0573369063,0.0,0.015774985775351524,0.104759529,0.3339041805,0.0630907338,0.3421484176,0.1464980399
USO1,0.1125353419,0.4625880209,0.0,0.007404976990073919,0.1041060289,0.2521789423,0.0,0.2325660444,0.1464224194
MAN1B1,0.1879386061,0.4302323339,0.0,0.33899539709091187,0.094479411,0.0125938242,0.0,0.0922295,0.144558634
ALG11,0.061105163,0.1348093492,0.0,0.04411894083023071,0.2733838365,0.3573410277,0.0,0.2847095085,0.1444334782
SNAP25,0.3719743388,0.1870337745,0.0,0.0,0.0685903405,0.1642346235,0.0760605689,0.2868860626,0.1443474636
ERP29,0.2289806868,0.042406273,0.0,0.0,0.4500173297,0.3663578585,0.0,0.0665310118,0.144286645
UBE4B,0.045050913,0.2911366873,0.0,0.0,0.249432948,0.2765315634,0.0,0.2893281534,0.1439350331
RAB5C,0.2937783762,0.1732200976,0.0,0.006502761505544186,0.1856922333,0.2608176018,0.0,0.2252631005,0.1431592714
AMFR,0.1402751461,0.1542450293,0.0,0.10375279933214188,0.2389114,0.3238832991,0.0,0.1840239728,0.1431364558
