Model,Scoring,Score,CI-lower,CI-high
ExtraTreesRegressor,neg_mean_squared_error,-0.929303264766183,-1.1046957582744446,-0.7539107712579214
RandomForestRegressor,neg_mean_squared_error,-0.9427588852875705,-1.1699234938489407,-0.7155942767262002
AdaBoostRegressor,neg_mean_squared_error,-0.8878110924375109,-1.0677865732228335,-0.7078356116521882
XGBRegressor,neg_mean_squared_error,-0.9460595746008476,-1.2648208939226018,-0.6272982552790933
SVR,neg_mean_squared_error,-2.5508167522794425,-3.16459054318525,-1.937042961373635
LassoRegression,neg_mean_squared_error,-0.8894886275049618,-1.0037124722789466,-0.7752647827309771
RidgeRegression,neg_mean_squared_error,-1.8032402145139357,-2.36463723128242,-1.2418431977454516
