GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
DPM1,0.5747555353,0.1442143341,0.0,0.36901095509529114,0.2484902044,0.2258816418,0.0989055569,0.2316449683,0.2366128995
SEC61A2,0.0738779772,0.1152091911,0.0,0.0,0.3698503957,0.6266070678,0.2526621989,0.3966205284,0.2293534199
OPTN,0.3404267357,0.3441111324,0.0,0.12272358685731888,0.1397057182,0.3383398072,0.1474054422,0.3517621992,0.2230593277
DNAJA1,0.1594782424,0.0810341821,0.0,0.0,0.4317906494,0.5767769209,0.1647668372,0.3627980718,0.222080613
CLTB,0.0999891171,0.2546693805,0.0,0.0037254351191222668,0.2992391624,0.4838829298,0.2747090856,0.3562988745,0.2215642481
AMFR,0.0811440748,0.0,0.0,0.0,0.2190633142,0.6427364869,0.3649859273,0.4466170876,0.2193183614
FUT8,0.0390316576,0.0897698533,0.0,0.0,0.1892878934,0.6794224912,0.2703244203,0.4823986863,0.2187793753
ARHGEF2,0.0535738872,0.010084439,0.0,0.10092277079820633,0.3127982945,0.5173070866,0.3292596679,0.424346665,0.2185366014
DPM2,0.3596093037,0.1901679665,1.0,0.10348805040121078,0.0595836705,0.0020946548,0.0,0.028386859,0.2179163131
COG6,0.0304346227,0.038835571,0.0,0.0,0.2832761346,0.791514443,0.1718957833,0.4194347852,0.2169239175
TMED2,0.1143945362,0.0968346658,0.0,0.14794740080833435,0.2035253827,0.5174262308,0.2560552191,0.3863650312,0.2153185583
STX6,0.1139795382,0.2024419164,1.0,0.0,0.012342602,0.2755452648,0.0,0.1115605434,0.2144837331
BAX,0.110455682,0.039520899,0.0,0.018314331769943237,0.5802663853,0.310635352,0.2918575935,0.3438331269,0.2118604213
HSP90B1,0.1013707569,0.0530528517,0.0,0.0,0.3819878254,0.4775685784,0.2215960501,0.412655015,0.2060288847
ALG2,0.2989421994,0.2127312503,0.0,0.3315843641757965,0.2513348721,0.4011538761,0.0,0.1462131031,0.2052449581
MOGS,0.0662643383,0.0117497969,0.0,0.00102724670432508,0.4093251047,0.4175363252,0.3857683104,0.3470638363,0.2048418698
CYTH3,0.1177453566,0.0,0.0,0.02310105785727501,0.2897345973,0.5464647693,0.2796598455,0.3759433007,0.2040811159
GGA1,0.0467954809,0.0933220858,1.0,0.035693615674972534,0.01930981,0.3566012994,0.0,0.0745444467,0.2032833423
B4GALT3,0.021818939,0.0527026737,0.0,0.007175751030445099,0.3201652196,0.4458743654,0.3966564698,0.3801287714,0.2030652737
SEC16B,0.0486888144,0.021862607,0.0,0.0406707301735878,1.0,0.3074767815,0.0,0.2027942469,0.2026866475
RAB4A,0.041668579,0.0112045935,0.0,0.0,0.3012542575,0.4883963897,0.3644378743,0.4122122187,0.2023967391
RAB40A,0.0349896441,0.0705098673,1.0,0.006456500850617886,0.2242765571,0.136645437,0.0,0.1352766558,0.2010193328
RAB40B,0.0802128145,0.0758484993,0.0,0.019931018352508545,0.2093263613,0.4826902094,0.3070180054,0.432471579,0.2009373109
STX19,0.1911412811,0.0242312232,0.0,0.07751795649528503,0.1385543203,0.3187274167,0.4452231454,0.4007991116,0.1995243068
LMAN2,0.045748694,0.0569810576,0.0,0.002588126575574279,0.4780922948,0.7551834506,0.0,0.2464029522,0.198124572
ATF4,0.0497403609,0.0661451978,0.0,0.0,0.62010713,0.4662864878,0.1276649218,0.2388665056,0.1961013255
TRAPPC4,0.0410243086,0.120460232,0.0,0.0042800093069672585,0.2874785909,0.565492676,0.1560133245,0.3918466929,0.1958244793
MAN1C1,0.037670305,0.040370051,0.0,0.0,0.2235780724,0.5790353465,0.2768638713,0.3886181499,0.1932669745
VAMP3,0.0601983117,0.0300720926,0.0,0.0,0.2552342263,0.5958716402,0.2672122836,0.3341149285,0.1928379354
TRAPPC2,0.0314341912,0.0112134736,0.0,0.013629079796373844,0.3420005249,0.4693960594,0.3093813816,0.3591438584,0.1920248211
CAPN1,0.1857274963,0.0,0.0,0.010688337497413158,0.1760970645,0.4030797843,0.3378035025,0.4102416087,0.1904547242
AP3D1,0.1132136255,0.1125524164,0.0,0.0,0.388319853,0.4500970112,0.1496399136,0.3083591543,0.1902727468
STX17,0.027948584,0.0053025093,1.0,0.0,0.0065235946,0.305193536,0.0,0.1717147806,0.1895853756
PIK3CA,0.3296180685,0.0682291428,0.0,0.012297084555029869,0.1348273778,0.4560576256,0.1864344005,0.3268925193,0.1892945274
PSD2,0.0413552814,0.0352898091,0.0,0.18301871418952942,0.0811141972,0.3541161302,0.3598400108,0.4355873946,0.1862901922
LARGE2,0.1858974826,0.0380833729,0.0,0.004999587312340736,0.2654166147,0.2990424224,0.3523741172,0.3440374567,0.1862313817
RFT1,0.0287108499,0.0948550281,0.0,0.0,0.3591171144,0.5117374795,0.1688909193,0.3075247647,0.1838545195
NET1,0.0485392169,0.0717780183,0.0,0.0,0.2125577515,0.3706057511,0.3824858375,0.373284526,0.1824063877
IQSEC1,0.0887675903,0.0099820594,0.0,0.0021397348027676344,0.2893099763,0.5129386267,0.2697063289,0.2692340867,0.1802598004
SIL1,0.1305194764,0.364871552,0.0,0.002680327044799924,0.22542971,0.2568563182,0.1860776893,0.2741048187,0.1800674865
ARFGAP2,0.1156347599,0.0431226225,1.0,0.02672269009053707,0.2259283407,0.0190026369,0.0,0.0080693353,0.1798100482
DPM3,0.1652412187,0.0427348444,0.0,0.0,0.0173302711,0.4683886767,0.3665946015,0.3733358476,0.1792031825
PIGZ,0.0515374529,0.0,0.0,0.0035264480393379927,0.1875512565,0.5000180142,0.2775856571,0.4120351055,0.1790317418
ERP29,0.1056487808,0.0425629589,0.0,0.0,0.4511465177,0.5268290537,0.0,0.300369863,0.1783196468
GLT1D1,0.0125319034,0.0,0.0,0.0,0.1826735164,0.5422534223,0.3111493113,0.3732436515,0.1777314756
GALNT14,0.0473181075,0.0216277953,0.0,0.0,0.1221385098,0.4333350315,0.3297449225,0.4670899752,0.1776567927
NPLOC4,0.1335151994,0.2508527045,0.0,0.2583187520503998,0.3304907283,0.2074927608,0.0,0.2399051982,0.1775719179
INPP5E,0.0843702603,0.0103559023,0.0,0.0045233736746013165,0.2323607989,0.3675975358,0.3249752114,0.3931391766,0.1771652824
PSD,0.0876940737,0.0065133236,1.0,0.013052506372332573,0.0398185923,0.2250270593,0.0,0.0403377681,0.1765554154
ARF5,0.0598700535,0.0984348676,0.0,0.0,0.3093399024,0.5274888564,0.1065508197,0.3008079736,0.1753115592
EIF2S1,0.0324046685,0.0454242234,0.0,0.027200104668736458,0.1963445277,0.3112109113,0.4298936269,0.344606599,0.1733855827
STX10,0.051023527,0.0122402556,0.0,0.003110982710495591,0.6062543492,0.3484960902,0.085961697,0.2727520742,0.172479872
RNF5,0.3263383631,0.0166714094,0.0,0.05094113573431969,0.2744681598,0.2327094632,0.210195953,0.2572397444,0.1710705286
GOSR1,0.0161654352,0.0099416662,0.0,0.0,0.4125914871,0.4548299429,0.1240545275,0.3502289324,0.1709764989
PIGL,0.0709772148,0.0116908258,0.0,0.0,0.434796367,0.4116742714,0.1248042217,0.3057366031,0.169959938
RAB34,0.0384059627,0.06688496,0.0,0.009996335953474045,0.168341856,0.3940128216,0.358275485,0.3121031443,0.1685025707
ASAP1,0.0689357975,0.036435354,0.0,0.0,0.0557131427,0.3757367407,0.4480000343,0.3572508927,0.1677589952
TRAPPC3,0.0704517905,0.0108312063,0.0,0.0011007714783772826,0.4465102677,0.4887073345,0.07088645,0.2433985318,0.166485794
DERL3,0.1977680187,0.0,0.0,0.023726288229227066,0.1541070171,0.4039239921,0.2320885618,0.3186382488,0.1662815158
RAB11FIP1,0.0263137715,0.0055864215,0.0,0.0242337416857481,0.1528798927,0.5246054134,0.1930737771,0.3990954427,0.1657235576
DOCK5,0.2516374618,0.2890007347,0.0,0.011339491233229637,0.1161929598,0.2014440155,0.1587498718,0.2840163333,0.1640476085
STX1A,0.0577027338,0.0303653715,0.0,0.008006788790225983,0.2462360021,0.4325405742,0.2059814425,0.3273957459,0.1635285823
ARFGEF1,0.0681659597,0.0437293898,0.0,0.0,0.2295257103,0.3078156654,0.3625686208,0.2938779235,0.1632104087
SNAP29,0.0769004274,0.1771736073,0.0,0.0,0.3117623816,0.4886436347,0.0,0.2509523427,0.1631790492
GALNT7,0.0921663502,0.1558805846,0.0,0.012773954309523106,0.1829105216,0.3535764603,0.2055279917,0.300786207,0.1629527587
B4GALT1,0.1920428996,0.3675117496,0.0,0.03256739303469658,0.0735156671,0.185627181,0.1757807258,0.268799449,0.1619806331
RAB9A,0.076920033,0.0124443654,0.0,0.0027870426420122385,0.1300331901,0.4604904597,0.2985112062,0.3141026244,0.1619111152
PICK1,0.0264878868,0.0147855729,0.0,0.0020324322395026684,0.2621625932,0.371944918,0.2960461641,0.3203991702,0.1617323422
ALG10B,0.0357019004,0.1988566237,0.0,0.030118336901068687,0.2292933968,0.3139184885,0.1814455097,0.2941413571,0.1604344516
SVIP,0.0533570596,0.0497763606,0.0,0.0,0.2263980681,0.4327849312,0.2209274217,0.2920588084,0.1594128312
SGSM1,0.4310771692,0.0603439081,0.0,0.06762126088142395,0.217761398,0.1685204133,0.0975416118,0.2317443345,0.159326262
INPP5B,0.0419669576,0.0570872361,0.0,0.0050961412489414215,0.3653964501,0.3235452485,0.2132790886,0.2660639247,0.1590543809
SNAP25,0.2212670317,0.2997813342,0.0,0.3592069447040558,0.0670322108,0.1095522503,0.1042755315,0.1092339168,0.1587936525
IFT27,0.0798908845,0.0234854053,0.0,0.0034266067668795586,0.1450602336,0.4601109416,0.2174089558,0.3282972914,0.1572100399
YWHAQ,0.013411118,0.0215721275,0.0,0.0,0.2154454223,0.4297440428,0.2693906826,0.304777656,0.1567926312
GALNT2,0.0970178192,0.0,0.0,0.0,0.3270822073,0.5891983162,0.0,0.2371257138,0.1563030071
ASAP3,0.0823447273,0.0226491771,0.0,0.0036200147587805986,0.1819111272,0.4277846839,0.1711892146,0.3563823997,0.1557351681
RAB39A,0.2147881431,0.0114692205,0.0,0.0,0.4389125892,0.3112314615,0.0037968125,0.2622819322,0.1553100199
TMED10,0.1022975991,0.0576504684,0.0,0.0,0.2991171309,0.3918311123,0.1002717897,0.2906274424,0.1552244428
AP1B1,0.0882128956,0.0154702359,0.0,0.0,0.1499194117,0.5081238467,0.1410766905,0.3388617353,0.155208102
GPLD1,0.033903021,0.0223192486,0.0,0.08496318757534027,0.436202986,0.4000185983,0.0,0.252667415,0.1537593071
EIF2AK4,0.0833989637,0.020928374,0.0,0.0,0.4806758435,0.4234669361,0.0,0.2196872285,0.1535196682
SEC13,0.0898421972,0.0820154419,0.0,0.24104301631450653,0.3114994838,0.2511389964,0.0,0.2487339265,0.1530341328
MICALL2,0.0943800557,0.0498684986,0.0,0.0,0.1346238309,0.4641999176,0.1921086684,0.2760410927,0.151402758
HSPA8,0.046859825,0.0,0.0,0.04898983985185623,0.2337294201,0.3921504296,0.1535003514,0.3105131514,0.1482178772
PAK1,0.0518311299,0.0491731455,0.0,0.0,0.0969224286,0.5462137679,0.1549863997,0.2855554485,0.14808529
NAPA,0.0296711984,0.0457619444,0.0,0.0,0.4534247241,0.3188909978,0.0404861486,0.2950591198,0.1479117666
ARAP1,0.0220995297,0.0,0.0,0.09721050411462784,0.3999911774,0.38196702,0.0,0.2771800729,0.147306038
RAB3A,0.0448015548,0.0593080349,0.0,0.0,0.2364791862,0.3981658105,0.1078771149,0.3301221829,0.1470942355
ALG11,0.0539870269,0.0265095376,0.0,0.0,0.3560299406,0.4841110038,0.0415216625,0.2144052632,0.1470705543
COG4,0.1469795465,0.0,0.0,0.0718398466706276,0.5595494368,0.1821029618,0.0,0.2149178626,0.1469237068
ARHGAP24,0.0993190633,0.0,0.0,0.0,0.2410555984,0.4624711472,0.0806321927,0.2788729519,0.1452938692
HAS3,0.3476709124,0.1622846976,0.0,0.022402340546250343,0.0444082977,0.3086772808,0.0453700519,0.2299805669,0.1450992685
RFWD2,0.0757423582,0.0474780822,0.0,0.07626166939735413,0.3595633799,0.4073742896,0.0,0.1881936026,0.1443266727
AP3S2,0.1021435533,0.0,0.0,0.0,0.3024674402,0.2702108236,0.1517563049,0.3267223781,0.1441625625
STT3B,0.0940299639,0.0308072296,0.0,0.0,0.2678876365,0.4059013826,0.0884264901,0.2639080787,0.1438700977
UGCG,0.089377558,0.0,0.0,0.0,0.1727734489,0.3494349622,0.1976611364,0.3351037197,0.1430438531
TBC1D8,0.0332302209,0.1501312138,0.0,0.036103520542383194,0.1066801835,0.2352533855,0.2658754751,0.3169339629,0.1430259953
GALNT18,0.073384922,0.0822665179,0.0,0.0,0.1627247349,0.3037144286,0.1634574727,0.3560660571,0.1427017666
GLT8D1,0.0853406476,0.0147982202,0.0,0.0,0.3269117464,0.3320452656,0.0938272402,0.2730560649,0.1407473981
SSR3,0.0346297375,0.0335207603,0.0,0.0020021956879645586,0.2776703815,0.4629755552,0.0185499143,0.2920556374,0.1401755227
HSP90AB1,0.1899448506,0.0499915017,0.0,0.020396193489432335,0.0341139206,0.4163018907,0.125035071,0.2844885067,0.1400339918
RAB35,0.0594329545,0.0,0.0,0.0,0.3694768931,0.3127381573,0.0941654098,0.2787297149,0.1393178912
AP1S2,0.1438037124,0.0,0.0,0.0,0.1335406006,0.2416257002,0.2359824143,0.3479500589,0.1378628108
TBC1D10C,0.1690964124,0.0960884847,0.0,0.0,0.1436027128,0.3711109272,0.0684463875,0.2496907655,0.1372544613
RAB3D,0.120013082,0.0642744409,0.0,0.0,0.2421116928,0.4227167291,0.0,0.2476070426,0.1370903734
PLIN3,0.3247468367,0.2592800898,0.0,0.017611706629395485,0.065006432,0.1270492162,0.0847120571,0.2175937316,0.1370000088
RABEP1,0.0900587109,0.0,0.0,0.0,0.3744676531,0.2009246426,0.1893297368,0.2322893187,0.1358837578
SPCS3,0.1542556215,0.0246393013,0.0,0.0,0.2639636761,0.446106816,0.0,0.1967128482,0.1357097829
PPIA,0.0305553366,0.0318111995,0.0,0.0,0.3656900019,0.4277320752,0.0,0.2268445933,0.1353291508
ARFGEF2,0.0385171738,0.1690591155,0.0,0.03663184121251106,0.2598421545,0.214468405,0.1007246701,0.2607741677,0.135002191
STX18,0.4941452237,0.2634595313,0.0,0.13585209846496582,0.0174472948,0.0509970374,0.0397892106,0.0781695247,0.1349824901
DNAJB1,0.0066381272,0.0,0.0,0.03870964050292969,0.1904349846,0.3930042975,0.1295141582,0.3183112183,0.1345765533
SELENOS,0.2429537879,0.1233309053,0.0,0.11482603847980499,0.1688242227,0.2651434858,0.0,0.1580388158,0.134139657
TMX2,0.075573884,0.0999589332,0.0,0.030620697885751724,0.2409479892,0.2716512334,0.0673255053,0.2858868224,0.1339956332
TUSC3,0.0894948859,0.0398689901,0.0,0.0,0.0640248386,0.3497537157,0.1911431698,0.3341334543,0.1335523818
UBA1,0.0689501757,0.0380841808,0.0,0.0,0.2130493873,0.2676173286,0.2007232075,0.2783504298,0.1333468387
UBA5,0.0443611495,0.0528791697,0.0,0.19250881671905518,0.2684476287,0.2676299183,0.0,0.2381122193,0.1329923628
ARAP2,0.045570558,0.0,0.0,0.0,0.0900180759,0.4474856583,0.1226062024,0.3528240608,0.1323130694
OCRL,0.0601201043,0.0,0.0,0.0,0.3201804501,0.1652749401,0.2501039379,0.2575852548,0.1316580859
SSR1,0.0878894576,0.1133041011,0.0,0.0,0.2749618423,0.3885638381,0.0,0.1868699848,0.131448653
MAN1B1,0.1009389848,0.0218165813,0.0,0.01174810528755188,0.3444936226,0.2641338559,0.0758352935,0.2305860522,0.1311940619
