Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.9982352941176471,0.9876470588235294,1.008823529411765
RandomForestClassifier,roc_auc,0.9994,0.9957999999999999,1.003
AdaBoostClassifier,roc_auc,0.999,0.993,1.005
XGBClassifier,roc_auc,0.9982843137254902,0.9879901960784313,1.008578431372549
LinearDiscriminantAnalysis,roc_auc,0.9784627450980393,0.9268164777406663,1.0301090124554122
SVC,roc_auc,0.9968,0.984,1.0096
LassoRegression,roc_auc,0.9987999999999999,0.9915999999999999,1.006
RidgeRegression,roc_auc,0.9988235294117647,0.9917647058823529,1.0058823529411764
