Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.7125,0.1875,1.2375
RandomForestClassifier,roc_auc,0.8,0.26148351928654956,1.3385164807134506
AdaBoostClassifier,roc_auc,0.65,-0.09833147735478831,1.3983314773547884
XGBClassifier,roc_auc,0.825,0.2749999999999999,1.375
LinearDiscriminantAnalysis,roc_auc,0.775,0.2529846745544725,1.2970153254455274
SVC,roc_auc,0.775,0.2529846745544725,1.2970153254455274
LassoRegression,roc_auc,0.6916666666666667,-0.07590526264463027,1.4592385959779635
RidgeRegression,roc_auc,0.825,0.43448751620466725,1.2155124837953326
