Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.8426470588235295,0.5347211925824065,1.1505729250646526
RandomForestClassifier,roc_auc,0.8529411764705882,0.4386631326668468,1.2672192202743295
AdaBoostClassifier,roc_auc,0.8006535947712419,0.5177746366743206,1.0835325528681632
XGBClassifier,roc_auc,0.9133986928104575,0.7693629536331072,1.0574344319878077
LinearDiscriminantAnalysis,roc_auc,0.9712418300653594,0.8787726055747586,1.06371105455596
SVC,roc_auc,0.8450980392156863,0.43823647531473137,1.2519596031166411
LassoRegression,roc_auc,0.915359477124183,0.7180983381747219,1.112620616073644
RidgeRegression,roc_auc,0.9176470588235294,0.6978642153850658,1.137429902261993
