Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.553513071895425,0.03836114876133334,1.0686649950295166
RandomForestClassifier,roc_auc,0.5416666666666667,0.0816913651884118,1.0016419681449218
AdaBoostClassifier,roc_auc,0.4754901960784313,0.10653319787752524,0.8444471942793373
XGBClassifier,roc_auc,0.46862745098039216,-0.03129522235157023,0.9685501243123545
LinearDiscriminantAnalysis,roc_auc,0.44297385620915025,-0.06380965908788544,0.949757371506186
SVC,roc_auc,0.5624183006535948,0.1278667347409409,0.9969698665662486
LassoRegression,roc_auc,0.6052287581699345,0.297094347031811,0.9133631693080579
RidgeRegression,roc_auc,0.6071895424836601,0.09782950445517291,1.1165495805121473
