Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.7269582043343653,0.5352423812742926,0.918674027394438
RandomForestClassifier,roc_auc,0.7242247162022704,0.5259655777686727,0.922483854635868
AdaBoostClassifier,roc_auc,0.7102399380804953,0.578403876210176,0.8420759999508147
XGBClassifier,roc_auc,0.7431802545579635,0.6015044316854394,0.8848560774304877
LinearDiscriminantAnalysis,roc_auc,0.6597858617131063,0.4852823478315142,0.8342893755946983
SVC,roc_auc,0.730077399380805,0.5947217872431427,0.8654330115184672
LassoRegression,roc_auc,0.7549501203990368,0.6594295631090177,0.8504706776890558
RidgeRegression,roc_auc,0.742843997248022,0.5989706130641431,0.8867173814319008
