Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.6227272727272728,0.4606627116821753,0.7847918337723703
RandomForestClassifier,roc_auc,0.7234848484848484,0.38424651835675216,1.0627231786129445
AdaBoostClassifier,roc_auc,0.725,0.37559081743677064,1.0744091825632294
XGBClassifier,roc_auc,0.7964646464646464,0.5524546811410417,1.0404746117882513
LinearDiscriminantAnalysis,roc_auc,0.733838383838384,0.4929531172443573,0.9747236504324106
SVC,roc_auc,0.6492424242424242,0.24842542114443716,1.0500594273404111
LassoRegression,roc_auc,0.6898989898989899,0.4126469621901076,0.9671510176078721
RidgeRegression,roc_auc,0.7103535353535353,0.38748402622246525,1.0332230444846053
