Model,Scoring,Score,CI-lower,CI-high
ExtraTreesRegressor,neg_mean_squared_error,-0.8269169037617873,-0.9780682234295526,-0.675765584094022
RandomForestRegressor,neg_mean_squared_error,-0.8437871932967699,-0.9999354262132523,-0.6876389603802875
AdaBoostRegressor,neg_mean_squared_error,-0.8139769818878584,-0.8939319319282658,-0.734022031847451
XGBRegressor,neg_mean_squared_error,-0.9163613848495269,-1.0488475419853802,-0.7838752277136737
SVR,neg_mean_squared_error,-3.310565934921166,-4.324312354872793,-2.2968195149695383
LassoRegression,neg_mean_squared_error,-0.8258105358586862,-0.8847725785149743,-0.7668484932023982
RidgeRegression,neg_mean_squared_error,-2.315102146535579,-3.1750822998123667,-1.455121993258792
