Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.6003858024691359,0.3154318167004035,0.8853397882378682
RandomForestClassifier,roc_auc,0.5077160493827161,0.2740779474202696,0.7413541513451626
AdaBoostClassifier,roc_auc,0.6012345679012346,0.41591979842505866,0.7865493373774106
XGBClassifier,roc_auc,0.5515432098765432,0.25470343054207445,0.8483829892110119
LinearDiscriminantAnalysis,roc_auc,0.5081790123456791,0.26642721805833103,0.7499308066330271
SVC,roc_auc,0.4973765432098765,0.30683142597786706,0.687921660441886
LassoRegression,roc_auc,0.4848765432098766,0.14948679593236192,0.8202662904873913
RidgeRegression,roc_auc,0.5106481481481481,0.28391726581379284,0.7373790304825033
