Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.6055555555555555,0.09619247948872167,1.1149186316223894
RandomForestClassifier,roc_auc,0.640079365079365,0.40336245516446834,0.8767962749942617
AdaBoostClassifier,roc_auc,0.5182539682539683,0.0407399346325818,0.9957680018753547
XGBClassifier,roc_auc,0.5142857142857142,-0.0013699175681766151,1.029941346139605
LinearDiscriminantAnalysis,roc_auc,0.4928571428571429,-0.07068857334558087,1.0564028590598666
SVC,roc_auc,0.4166666666666667,0.034245556148804035,0.7990877771845293
LassoRegression,roc_auc,0.43571428571428567,0.07728977763491679,0.7941387937936546
RidgeRegression,roc_auc,0.37380952380952376,-0.09359352331961995,0.8412125709386675
