Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.4916666666666667,-0.15145937938582454,1.134792712719158
RandomForestClassifier,roc_auc,0.6458333333333334,-0.02627983504764042,1.317946501714307
AdaBoostClassifier,roc_auc,0.5666666666666667,0.052695201829690896,1.0806381315036424
XGBClassifier,roc_auc,0.4916666666666667,-0.3195395682425305,1.302872901575864
LinearDiscriminantAnalysis,roc_auc,0.5333333333333334,-0.08220617708731282,1.1488728437539797
SVC,roc_auc,0.6833333333333333,0.2833333333333333,1.0833333333333335
LassoRegression,roc_auc,0.5,-0.2637626158259734,1.2637626158259734
RidgeRegression,roc_auc,0.5833333333333334,-0.05349910581809325,1.2201657724847599
