Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.55125,0.0011988660133496198,1.1013011339866505
RandomForestClassifier,roc_auc,0.5762500000000002,0.16115211997650503,0.9913478800234953
AdaBoostClassifier,roc_auc,0.45999999999999996,-0.06306787322488083,0.9830678732248808
XGBClassifier,roc_auc,0.41500000000000004,-0.21117888817813069,1.0411788881781308
LinearDiscriminantAnalysis,roc_auc,0.5475000000000001,-0.1360385870600137,1.2310385870600138
SVC,roc_auc,0.78,0.4133939444035328,1.1466060555964672
LassoRegression,roc_auc,0.73,0.17827543103465104,1.281724568965349
RidgeRegression,roc_auc,0.69,0.10042388108065292,1.2795761189193469
