Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.7360641296687809,0.48117094365008434,0.9909573156874774
RandomForestClassifier,roc_auc,0.7504281183932348,0.5187367145278166,0.982119522258653
AdaBoostClassifier,roc_auc,0.7505919661733615,0.5232653896878998,0.9779185426588233
XGBClassifier,roc_auc,0.8096476391825229,0.6468575004051829,0.972437777959863
LinearDiscriminantAnalysis,roc_auc,0.7256412966878083,0.45767940590794276,0.9936031874676738
SVC,roc_auc,0.7865398167723748,0.5347889891240081,1.0382906444207416
LassoRegression,roc_auc,0.8101198026779421,0.671742101605403,0.9484975037504813
RidgeRegression,roc_auc,0.8063847780126849,0.5443442332641821,1.0684253227611877
