Model,Scoring,Score,CI-lower,CI-high
ExtraTreesClassifier,roc_auc,0.7516666666666667,0.26302910500499227,1.2403042283283412
RandomForestClassifier,roc_auc,0.8200000000000001,0.4894112995142017,1.1505887004857984
AdaBoostClassifier,roc_auc,0.8533333333333333,0.6379267410479531,1.0687399256187136
XGBClassifier,roc_auc,0.8133333333333332,0.43129203248281583,1.1953746341838507
LinearDiscriminantAnalysis,roc_auc,0.7633333333333333,0.27575427991395873,1.2509123867527079
SVC,roc_auc,0.7666666666666666,0.3346172867728093,1.198716046560524
LassoRegression,roc_auc,0.8666666666666666,0.5715207517176178,1.1618125816157154
RidgeRegression,roc_auc,0.8333333333333334,0.5307518475223942,1.1359148191442725
